('11.08', 'KAB. ACEH UTARA'),
('Matangkuli', 'Teungoh Seuleumak'),
('Matangkuli', 'Seuriweuk'),
('Matangkuli', 'Dayah Baro'),
('Matangkuli', 'Kunyet Mulee'),
('Matangkuli', 'Tutong'),

('Muara Batu', 'Keude Mane'),
('Muara Batu', 'Meunasah Drang'),
('Muara Batu', 'Meunasah Baro'),
('Muara Batu', 'Meunasah Lhok'),
('Muara Batu', 'Cot Seurani'),
('Muara Batu', 'Mane Tunong'),
('Muara Batu', 'Kuala Dua'),
('Muara Batu', 'Meunasah Pinto'),
('Muara Batu', 'Keude Bungkaih'),
('Muara Batu', 'Kambam'),
('Muara Batu', 'Meunasah  Aron'),
('Muara Batu', 'Cot Trueng'),
('Muara Batu', 'Dakuta'),
('Muara Batu', 'Paloh Awe'),
('Muara Batu', 'Tanoh Anoe'),
('Muara Batu', 'Pante Gurah'),
('Muara Batu', 'Teupin Banja'),
('Muara Batu', 'Teumpok Beurandang'),
('Muara Batu', 'Paloh Raya'),
('Muara Batu', 'Panigah'),
('Muara Batu', 'Ulee Madon'),
('Muara Batu', 'Reuleut Timu'),
('Muara Batu', 'Reuleut Barat'),
('Muara Batu', 'Pinto Makmur'),

('Meurah Mulia', 'Dayah Bluek'),
('Meurah Mulia', 'Mesjid Bluek'),
('Meurah Mulia', 'Meuria Bluek'),
('Meurah Mulia', 'Rheng Bluek'),
('Meurah Mulia', 'Pulo Bluek'),
('Meurah Mulia', 'Rangkileh'),
('Meurah Mulia', 'Rayeuk Matang'),
('Meurah Mulia', 'Ulee Meuria'),
('Meurah Mulia', 'Tanjong'),
('Meurah Mulia', 'Keude Karieng'),
('Meurah Mulia', 'Manyang'),
('Meurah Mulia', 'Ulee Ceubrek'),
('Meurah Mulia', 'Teumpok Teungku'),
('Meurah Mulia', 'Geulumpang'),
('Meurah Mulia', 'Reudeup'),
('Meurah Mulia', 'Barat Paya Itek'),
('Meurah Mulia', 'Paya Kambuk'),
('Meurah Mulia', 'Paya Bili'),
('Meurah Mulia', 'Meunasah  Mee'),
('Meurah Mulia', 'Meunasah  Nga'),
('Meurah Mulia', 'Ubit Paya Itek'),
('Meurah Mulia', 'Rayeuk Paya Itek'),
('Meurah Mulia', 'Blang Cut'),
('Meurah Mulia', 'Keeh'),
('Meurah Mulia', 'Kumbang'),
('Meurah Mulia', 'Pri Keutapang'),
('Meurah Mulia', 'Mesjid'),
('Meurah Mulia', 'Teungoh Reuba'),
('Meurah Mulia', 'Blang Reuma'),
('Meurah Mulia', 'Drien Puntong'),
('Meurah Mulia', 'Pulo Kitou'),
('Meurah Mulia', 'Ceubrek'),
('Meurah Mulia', 'Meunye Peut'),
('Meurah Mulia', 'Beuringen'),
